,artist_name,track_name,song_no
28090,Ellie Goulding,Love Me Like You Do,30574
28093,Melanie Martinez,Pity Party,30577
28128,The Handsome Family,Far From Any Road,30614
28136,Simon & Garfunkel,America,30622
28142,Whitney,Polly,30628
28146,Julia Holter,How Long?,30632
28147,The War on Drugs,Red Eyes,30633
28154,Arca,Desafío,30640
28155,Angel Olsen,Never Be Mine,30641
28159,London Grammar,Everyone Else,30645
28167,PJ Harvey,Chain of Keys,30653
28194,Guns N' Roses,Patience,30684
28228,Frank Ocean,Pretty Sweet,30731
28243,Arctic Monkeys,Fake Tales of San Francisco,30750
28253,Queens of the Stone Age,Gonna Leave You,30760
28259,Alvvays,Next of Kin,30766
28260,Nirvana,Lounge Act,30768
28263,Sigur Rós,Viðrar vel til loftárása,30771
28281,MØ,XXX 88 (feat. Diplo),30790
28282,MØ,Kamikaze,30791
28283,Drake,Too Good,30792
28286,Halsey,Hurricane,30797
28287,Halsey,New Americana,30798
28295,Charli XCX,Vroom Vroom,30810
28300,Demi Lovato,Cool for the Summer,30815
28302,Troye Sivan,Wild,30817
28303,Die Antwoord,We Have Candy,30818
28305,Die Antwoord,Banana Brain,30821
28308,Ariana Grande,Side To Side (feat. Nicki Minaj),30827
28309,Azealia Banks,212 (feat. Lazy Jay),30828
28312,Carly Rae Jepsen,Favourite Colour,30832
28313,Carly Rae Jepsen,Warm Blood,30833
28314,Carly Rae Jepsen,Fever,30834
28317,Melanie Martinez,Cry Baby,30837
28318,Twenty One Pilots,Polarize,30839
28322,Panic! at the Disco,Don't Threaten Me with a Good Time,30844
28323,AJR,Weak,30845
28364,Coldplay,Birds,30892
28370,The B-52's,Rock Lobster,30898
28436,Vince Staples,samo,30970
28442,Gorillaz,Stylo (Feat. Mos Def And Bobby Womack),30979
28470,Best Coast,Feeling OK,31013
28472,Arcade Fire,Put Your Money on Me,31015
28482,The Avalanches,Going Home,31025
28490,Lady Gaga,Sinner's Prayer,31036
28496,Sufjan Stevens,No Shade in the Shadow of the Cross,31044
28498,The Velvet Underground,European Son,31046
28542,Arctic Monkeys,Do I Wanna Know?,31094
28562,Fleet Foxes,Mearcstapa,31114
28563,Fleet Foxes,Fool's Errand,31115
28580,Magic Man,Paris,31133
28582,Muse,Revolt,31135
28589,Queen,Another One Bites The Dust - Remastered 2011,31144
28596,Nirvana,Dumb,31152
28598,Placebo,Too Many Friends,31154
28599,Placebo,Drag,31155
28604,PJ Harvey,This Mess We're In,31162
28607,The Kills,Siberian Nights,31165
28613,Biffy Clyro,Howl,31174
28618,Foo Fighters,Make It Right,31183
28621,Jimi Hendrix,All Along the Watchtower,31186
28630,Lenny Kravitz,Are You Gonna Go My Way,31196
28631,Liam Gallagher,Wall Of Glass,31197
28636,Franz Ferdinand,Michael,31203
28643,The White Stripes,Blue Orchid,31210
28647,Queens of the Stone Age,Un-Reborn Again,31214
28648,Rage Against the Machine,Fistful of Steel,31215
28653,M83,Steve McQueen,31220
28655,War,Low Rider,31222
28657,Moby,Honey,31224
28673,Kanye West,Gold Digger,31242
28676,Blank Banshee,WAVESTEP,31245
28683,Neutral Milk Hotel,King of Carrot Flowers Pt. 1,31252
28685,A Tribe Called Quest,Show Business,31254
28690,Japanese Breakfast,In Heaven,31260
28691,The Beatles,Glass Onion,31261
28718,Burial,Homeless,31293
28719,Burial,Ghost Hardware,31294
28723,The xx,Unfold,31298
28741,The Shins,Caring Is Creepy,31319
28755,Emancipator,Anthem,31335
28768,The National,Squalor Victoria,31351
28771,Arctic Monkeys,Arabella,31356
28775,TV on the Radio,Happy Idiot,31362
28776,Father John Misty,"I Love You, Honeybear",31364
28778,My Chemical Romance,Helena (So Long & Goodnight),31368
28796,Björk,Army of Me,31387
28805,Kasabian,L.S.F.,31397
28813,Black Flag,Rise Above,31406
28815,Sigur Rós,Gong,31408
28826,Simple Minds,Don't You (Forget About Me),31419
28831,Goo Goo Dolls,Iris,31424
28880,A$AP Rocky,L$D,31479
28892,Arcade Fire,Awful Sound (Oh Eurydice),31493
28893,Arcade Fire,Empty Room,31494
28902,Milky Chance,Doing Good,31504
28904,Glass Animals,Walla Walla,31506
28905,Glass Animals,Youth,31507
28906,Glass Animals,Season 2 Episode 3,31508
28921,Foster the People,Doing It for the Money,31527
28922,Portugal. The Man,SO YOUNG,31528
28924,Portugal. The Man,Tidal Wave,31530
28928,Panic! at the Disco,Emperor's New Clothes,31538
28929,Panic! at the Disco,The Ballad of Mona Lisa,31539
28952,Neil Young,The Needle and the Damage Done,31564
28956,Dream Theater,Under a Glass Moon,31568
28960,Caravan Palace,Dramophone,31572
28967,Katrina and the Waves,Walking On Sunshine,31580
28992,Kate Bush,Babooshka,31605
29000,Tom Petty and The Heartbreakers,American Girl,31614
29002,System of a Down,Lost in Hollywood,31616
29006,Adele,Rumour Has It,31620
29007,Pearl Jam,Black,31623
29011,Death Cab for Cutie,Soul Meets Body,31628
29012,Fleetwood Mac,You Make Loving Fun,31629
29013,Groove Armada,At the River,31630
29015,Pearl Jam,Last Kiss,31633
29016,Nirvana,Sliver,31636
29022,Queen,Play the Game,31643
29025,Imagine Dragons,Demons,31646
29030,Katy Perry,Waking Up in Vegas,31653
29034,Red Hot Chili Peppers,Under the Bridge,31658
29035,The Kooks,Bad Habit,31659
29037,Phoenix,Lisztomania,31662
29043,"Tyler, the Creator",Domo23,31668
29081,Owl City,Fireflies,31709
29082,fun.,Some Nights,31710
29085,Stromae,Tous les mêmes,31715
29130,The Beatles,Help!,31862
29131,The Beatles,"Ob-La-Di, Ob-La-Da",31863
29132,The Beatles,Revolution 1,31864
29133,Weezer,Pink Triangle,31865
29135,Arcade Fire,No Cars Go,31867
29145,Kygo,Stay (feat. Maty Noyes),31880
29167,Muse,The Small Print,31904
29168,Muse,Blackout,31905
29181,Bring Me the Horizon,Run,31920
29182,Bring Me the Horizon,Throne,31921
29213,Death Grips,Warping,31957
29235,Forest Swords,Panic,31984
29244,SOHN,Hard Liquor,31993
29263,Twenty One Pilots,Tear in My Heart,32014
29281,Oasis,Wonderwall (Remastered),32034
29332,Coldplay,Everglow,32095
29351,Daft Punk,Phoenix,32121
29353,Daft Punk,Face to Face,32123
29384,Toadies,Possum Kingdom,32268
29388,Green Day,Basket Case,32272
29394,Linkin Park,Crawling,32278
29395,Linkin Park,Somewhere I Belong,32279
29398,The Beatles,Baby You're a Rich Man,32282
29466,Morcheeba,Blindfold,32351
29472,Stone Sour,Through Glass,32357
29473,Linkin Park,Easier to Run,32359
29474,Linkin Park,Shadow of the Day,32360
29487,Swans,Just A Little Boy (for Chester Burnett),32374
29496,Death Grips,Eh,32385
29500,Amy Winehouse,He Can Only Hold Her,32389
29515,The Chainsmokers & Coldplay,Something Just Like This,32405
29569,fun.,We Are Young (feat. Janelle Monáe),32463
29668,The Strokes,Threat Of Joy,32581
29674,Sufjan Stevens,Carrie & Lowell,32587
29690,Brand New,Waste,32603
29749,Big Thief,Masterpiece,32667
29756,The Clash,I Fought the Law,32674
29765,Aphex Twin,CIRKLON3 [ Kolkhoznaya mix ],32683
29766,Death Grips,Ring a Bell,32684
29775,blink-182,I MISS YOU,32695
29776,blink-182,Adam's Song,32697
29777,blink-182,Josie,32705
29779,blink-182,Anthem,32709
29780,blink-182,San Diego,32713
29782,blink-182,Don't Leave Me,32718
29784,blink-182,The Party Song,32720
29785,blink-182,Going Away to College,32724
29798,J. Cole,G.O.M.D.,32743
29800,30 Seconds to Mars,A Beautiful Lie,32745
29807,BABYMETAL,MEGITSUNE,32753
29808,Lana Del Rey,Dark Paradise,32754
29809,Kelly Clarkson,Because of You,32755
29810,The Cranberries,Zombie,32756
29812,Axwell /\ Ingrosso,More Than You Know,32758
29814,The Pretty Reckless,Going to Hell,32760
29825,The Darkness,I Believe in a Thing Called Love,32773
29829,Oasis,Morning Glory,32778
29831,Nirvana,You Know You're Right,32780
29856,Kiasmos,Thrown,32808
29875,Three Days Grace,Break,32830
29882,The Jimi Hendrix Experience,The Wind Cries Mary,32837
29890,Rage Against the Machine,Without a Face,32846
29909,Radiohead,The Gloaming,32866
29914,Linkin Park,Guilty All the Same (feat. Rakim),32871
29917,The Red Jumpsuit Apparatus,Face Down,32874
29919,SOHN,Conrad,32876
29920,Slowdive,Go Get It,32879
29921,Daft Punk,Within,32880
29922,Death Grips,Deep Web,32882
29923,"Tyler, the Creator",Garden Shed,32883
29927,Taylor Swift,Out of the Woods,32888
29935,David Bowie,Let's Dance - 1999 Remastered Version,32896
29938,Carpenter Brut,Obituary,32899
29942,Elliott Smith,Punch and Judy,32903
29953,Ihsahn,Pressure,32914
29961,Pink Floyd,Eclipse,32922
29965,Queens of the Stone Age,Fairweather Friends,32928
29966,The Last Shadow Puppets,The Age of the Understatement,32929
29969,At the Drive-In,Invalid Litter Dept.,32932
29976,Troye Sivan,Youth,32939
29978,French Montana,unforgettable,32941
30013,Daft Punk,High Life,32980
30014,Daft Punk,Indo Silver Club,32981
30030,Sampha,Incomplete Kisses,33000
30049,Lana Del Rey,Black Beauty,33020
30051,Opeth,Burden,33023
30052,Pearl Jam,Do the Evolution,33024
30065,Kate Bush,Army Dreamers,33037
30085,Lana Del Rey,Art Deco,33059
30105,Roger Waters,Déjà Vu,33079
30122,Khalid,Young Dumb & Broke,33097
30125,Deftones,Change (In the House of Flies),33100
30134,Haddaway,What Is Love,33110
30137,Paramore,Hallelujah,33115
30138,The Knife,Heartbeats,33116
30139,The Weeknd,False Alarm,33117
30146,Björk,5 Years,33125
30148,Fleet Foxes,Blue Ridge Mountains,33128
30168,Mr. Probz,Waves (Robin Schulz Radio Edit),33153
30175,The Chainsmokers,Paris,33161
30211,Fergie,Glamorous,33201
30215,Perfume Genius,Go Ahead,33207
30296,Imagine Dragons,It's Time,33290
30300,The Weeknd,Call Out My Name,33295
30307,Blur,Song 2 - 2012 Remastered Version,33303
30316,The Weeknd,Party Monster,33312
30319,MF DOOM,One Beer,33315
30320,Slipknot,Eyeless,33316
30324,Gorillaz,El Mañana,33320
30344,Steppenwolf,Magic Carpet Ride,33341
30356,Aesop Rock,Shrunk,33356
30381,Jay-Z & Kanye West,Niggas in Paris,33386
30388,Marshmello,Alone,33393
30394,Paramore,When It Rains,33400
30425,The All-American Rejects,Dirty Little Secret,33435
30437,Mumford & Sons,The Wolf,33448
30474,M83,Skin of the Night,33490
30476,Childish Gambino,terrified,33492
30477,Sia,Eye of the Needle,33493
30479,Madeon,You're On (feat. Kyan),33495
30485,HAIM,Little of Your Love,33502
30498,Daft Punk,The Game of Love,33518
30518,blink-182,Reckless Abandon,33539
30528,M83,Intro,33553
30533,PVRIS,Heaven,33559
30543,alt-J,Adeline,33572
30546,MGMT,When You Die,33575
30547,Washed Out,Hard to Say Goodbye,33576
30549,Childish Gambino,Me and Your Mama,33578
30591,Banks,Gemini Feed,33631
30634,Florence + the Machine,Hurricane Drunk,33677
30651,Florence + the Machine,What the Water Gave Me,33695
30680,System of a Down,Bubbles,33724
30705,Otis Redding,(Sittin' On) The Dock of the Bay,33752
30714,Radiohead,Weird Fishes/Arpeggi,33762
30715,Muse,Thought Contagion,33763
30716,Muse,Take a Bow,33765
30717,The Mars Volta,The Widow,33766
30732,The Rolling Stones,Jumpin' Jack Flash,33782
30734,Rage Against the Machine,Bulls on Parade,33784
30736,Muse,New Born,33788
30740,Madeon,Cut the Kid,33792
30748,Coldplay,Talk,33801
30751,Coldplay,Violet Hill,33806
30753,Paramore,Misery Business,33809
30754,I Monster,Daydream In Blue,33810
30759,Starfucker,Rawnald Gregory Erickson the Second,33816
30762,Snow Patrol,Chasing Cars,33820
30763,Fall Out Boy,I Don't Care,33821
30767,The Lumineers,Stubborn Love,33825
30769,Télépopmusik,Breathe,33828
30771,Porter Robinson,Sea Of Voices,33831
30773,Empire of the Sun,We Are the People,33834
30776,The Naked and Famous,Punching in a Dream,33838
30780,Grimes,Symphonia IX (My Wait Is U),33842
30781,Alvvays,Atop a Cake,33843
30788,Earl Sweatshirt,Chum,33850
30799,The xx,Night Time,33861
30803,Purity Ring,Belispeak,33866
30805,Air,Talisman,33869
30811,CHVRCHES,Lies,33876
30816,Chic,Good Times,33882
30823,Bon Iver,Creature Fear,33890
30827,Pink Floyd,Goodbye Blue Sky,33897
30829,Arcade Fire,Neon Bible,33899
30832,Led Zeppelin,Ramble On,33902
30839,God Is An Astronaut,Echoes,33909
30848,Zedd,The Middle,33918
30860,Bonobo,Cirrus,33930
30883,Mastodon,Roots Remain,33954
30906,Marilyn Manson,Killing Strangers,33978
30920,Sia,The Greatest,33992
30923,Bonobo,Break Apart,33995
30945,Beastie Boys,No Sleep Till Brooklyn,34021
30948,Yann Tiersen,"Comptine d'un autre été, L'Après-midi",34025
30982,Taylor Swift,Gorgeous,34060
31032,Courtney Barnett,Elevator Operator,34115
31034,Adele,Hello,34117
31068,Dark Tranquillity,Faithless by Default,34156
31081,Avicii,Waiting For Love,34171
31084,Big Data,Dangerous (feat. Joywave),34175
31103,Fitz and the Tantrums,HandClap,34206
31104,Fitz and the Tantrums,The Walker,34207
31115,Red Hot Chili Peppers,Dark Necessities,34219
31139,Frank Ocean,Chanel,34244
31163,Ozzy Osbourne,No More Tears,34273
31177,Beach House,Chariot,34293
31178,Cigarettes After Sex,K,34294
31185,Lany,ILYSB,34303
31196,Chairlift,Ch-Ching,34314
31200,Danny Brown,Really Doe (feat. Kendrick Lamar & Ab-Soul & Earl Sweatshirt),34319
31201,The Strokes,Oblivius,34321
31203,Wild Beasts,Big Cat,34323
31207,Vince Staples,Love Can Be...,34330
31225,deadmau5,4ware,34350
31232,Nine Inch Nails,Heresy,34358
31237,Fleet Foxes,Mykonos,34363
31268,Bob Dylan,Blowin' in the Wind,34395
31269,Jamiroquai,Virtual Insanity,34396
31275,Death Grips,Three Bedrooms in a Good Neighborhood,34402
31277,Bring Me the Horizon,Avalanche,34404
31283,Sky Ferreira,I Blame Myself,34410
31288,Mitski,A Burning Hill,34417
31294,Florence + the Machine,What Kind of Man,34423
31319,Zedd & Alessia Cara,Stay,34455
31325,Lionel Richie,Hello,34462
31327,Vektor,Pteropticon,34466
31352,Katy Perry,Hey Hey Hey,34493
31353,Pink Floyd,The Trial,34494
31354,Pink Floyd,Outside the Wall,34495
31355,Led Zeppelin,Custard Pie,34496
31360,Moderat,Reminder,34502
31377,Father John Misty,Chateau Lobby #4 (in C for Two Virgins),34521
31382,Eminem,Mockingbird,34526
31384,Arcade Fire,You Already Know,34529
31400,alt-J,Matilda,34546
31422,Florence + the Machine,Delilah,34569
31447,Kavinsky,Roadgame,34595
31459,Lorde,Liability (Reprise),34608
31465,Carly Rae Jepsen,Making the Most of the Night,34616
31469,M83,Reunion,34620
31472,Kings of Leon,Sex on Fire,34626
31479,Run the Jewels,Run the Jewels,34634
31489,Vampire Weekend,Finger Back,34644
31496,Taylor Swift,Look What You Made Me Do,34652
31497,Hailee Steinfeld,Most Girls,34653
31498,Eminem,The Real Slim Shady,34654
31510,Radiohead,Pyramid Song,34668
31515,Daft Punk,Solar Sailer,34674
31540,System of a Down,War?,34703
31547,Steve Miller Band,Take The Money And Run,34710
31555,Linkin Park,Faint,34718
31562,Slayer,War Ensemble,34727
31566,Salt-N-Pepa,Shoop,34731
31575,Travis,Sing,34741
31580,Yeah Yeah Yeahs,Y Control,34748
31586,Porter Robinson,Natural Light,34757
31615,Papa Roach,Help,34791
31616,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),34792
31629,Lady Gaga,Yoü and I,34807
31634,Taylor Swift,Delicate,34813
31636,Alanis Morissette,You Oughta Know,34816
31652,Kate Bush,Running Up That Hill (A Deal With God),34836
31674,Alice Cooper,School's Out,34860
31694,U2,Mysterious Ways,34880
31707,Madeon,Pixel Empire,34894
31712,Porter Robinson,Sad Machine,34899
31719,Lady Gaga,Dance in the Dark,34908
31720,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),34909
31721,Ariana Grande,Sometimes,34910
31732,Pixies,Something Against You,34921
31743,Nine Inch Nails,The Great Below,34936
31756,Gorillaz,Glitter Freeze,34950
31799,Placebo,Meds,35001
31800,Welshly Arms,Legendary,35002
31819,Jimmy Eat World,Sure And Certain,35024
31821,Vampire Weekend,Oxford Comma,35026
31822,Young the Giant,Cough Syrup,35027
31825,The Chainsmokers,Roses,35031
31826,The Chainsmokers,All We Know,35032
31832,Cage the Elephant,Ain't No Rest for the Wicked,35038
31834,Portugal. The Man,Modern Jesus,35040
31836,Twenty One Pilots,Semi-Automatic,35044
31842,Two Door Cinema Club,Undercover Martyn,35055
31844,Two Door Cinema Club,Bad Decisions,35057
31850,t.A.T.u.,All the Things She Said,35069
31852,Radiohead,Spectre,35072
31853,Radiohead,Hunting Bears,35073
31854,Radiohead,I Can't,35076
31856,The Smiths,How Soon Is Now? - 2011 Remastered Version,35079
31857,Beach House,Lazuli,35081
31859,Miley Cyrus,Wrecking Ball,35083
31860,The Killers,Jenny Was a Friend of Mine,35084
31866,Jeff Rosenstock,Staring Out The Window At Your Old Apartment,35091
31872,Car Seat Headrest,Joe Goes To School,35099
31881,AC/DC,Touch Too Much,35108
31886,Rammstein,Stein um Stein,35115
31910,Mogwai,Party in the Dark,35144
31918,CHVRCHES,We Sink,35156
31931,The Weeknd,Attention,35172
31932,The Weeknd,Ordinary Life,35173
31950,God Is An Astronaut,Remembrance Day,35195
31955,Low,Words,35201
31982,Interpol,Stella Was a Diver and She Was Always Down,35236
31983,No Doubt,Just a Girl,35237
31996,Bloc Party,This Modern Love,35257
32019,Elliott Smith,2:45 AM,35284
32055,Fleshgod Apocalypse,The Fool,35323
32057,Muse,Defector,35325
32069,Crystal Castles,Femen,35340
32087,Ghost,Spöksonat,35361
32088,Rage Against the Machine,Bullet in the Head,35362
32092,Limp Bizkit,Break Stuff,35366
32094,Slipknot,Spit It Out,35368
32095,Slipknot,(Sic),35369
32101,Garbage,Queer,35378
32127,Pantera,Mouth for War,35406
32172,Nine Inch Nails,"Dear World,",35456
32174,A Perfect Circle,The Doomed,35458
32215,God Is An Astronaut,Infinite Horizons,35504
32229,Jeff Buckley,Grace,35518
32231,R.E.M.,Radio Free Europe,35520
32232,Kanye West,Blood on the Leaves,35521
32235,The Beatles,Tomorrow Never Knows,35525
32240,Brand New,The Boy Who Blocked His Own Shot,35531
32259,Sam Cooke,Bring It on Home to Me,35559
32262,David Bowie,It Ain't Easy,35564
32268,Twenty One Pilots,cancer,35572
32269,Lorn,Anvil,35573
32276,Muse,Thoughts of a Dying Atheist,35580
32277,Audioslave,Gasoline,35581
32279,Cage the Elephant,Come a Little Closer,35585
32285,Disturbed,Shout 2000,35591
32288,Metallica,One,35597
32290,Korn,Coming Undone,35599
32291,Marilyn Manson,Tainted Love,35601
32332,Kings of Leon,Reverend,35644
32350,Nina Simone,My Baby Just Cares for Me,35665
32353,Muse,Survival,35669
32359,Prince & The Revolution,Purple Rain,35675
32361,Meshuggah,MonstroCity,35677
32389,The Doors,Take It as It Comes,35710
32405,Charli XCX,Break the Rules,35730
32418,Kajagoogoo,Too Shy,35744
32428,Papa Roach,Last Resort,35755
32476,Jon Hopkins,Lost in Thought,35811
32478,Lacuna Coil,Heaven's a Lie,35814
32484,Pat Benatar,Hit Me With Your Best Shot,35825
32502,The Wombats,Tokyo (Vampires & Wolves),35844
32515,All Time Low,"Dear Maria, Count Me In",35857
32517,Beastie Boys,Sabotage,35859
32524,Depeche Mode,Enjoy the Silence,35868
32525,Depeche Mode,Never Let Me Down Again,35869
32533,Fall Out Boy,America's Suitehearts,35878
32561,Rise Against,Satellite,35909
32569,When In Rome,The Promise,35918
32573,Ariana Grande,One Last Time,35925
32576,Avril Lavigne,What the Hell,35928
32577,Avril Lavigne,Girlfriend,35929
32594,Leonard Cohen,It Seemed the Better Way,35947
32595,Little People,Moon,35948
32634,Meghan Trainor,Lips Are Movin,35993
32650,Violent Femmes,Blister In The Sun,36009
32661,New Found Glory,My Friends Over You,36024
32662,Nine Inch Nails,Survivalism,36026
32674,Type O Negative,Christian Woman,36039
32684,Phillip Phillips,Home,36050
32688,System of a Down,Aerials,36055
32693,Three Days Grace,Painkiller,36061
32707,30 Seconds to Mars,From Yesterday,36075
32712,Christina Aguilera,Genie in a Bottle,36081
32746,Florence + the Machine,Various Storms & Saints,36119
32760,Rage Against the Machine,Sleep Now in the Fire,36133
32770,Creedence Clearwater Revival,Proud Mary,36144
32794,Animal Collective,Bluish,36170
32797,Joy Division,Atmosphere,36173
32806,Beck,Girl,36184
32807,Cake,Short Skirt / Long Jacket,36185
32810,Nirvana,Serve the Servants,36189
32811,Gorillaz,Pirate Jet,36190
32812,Gorillaz,On Melancholy Hill,36191
32817,Neon Trees,Everybody Talks,36199
32818,Pink Floyd,Brain Damage,36200
32822,Passion Pit,Little Secrets,36204
32823,St. Vincent,Digital Witness,36206
32824,The Bravery,Believe,36207
32826,The Killers,Change Your Mind,36209
32829,Fleetwood Mac,Little Lies,36214
32834,Yeah Yeah Yeahs,Zero,36220
32836,A Perfect Circle,Judith,36222
32839,Foster the People,I Would Do Anything for You,36226
32845,The Last Shadow Puppets,My Mistakes Were Made for You,36233
32848,Ghost,Prime Mover,36236
32861,Meshuggah,Bleed,36252
32862,Metallica,The Unforgiven II,36253
32877,System of a Down,ATWA,36270
32882,Sum 41,Pieces,36277
32892,Linkin Park,Lost in the Echo,36288
32896,Blind Melon,No Rain,36295
32897,Foo Fighters,Times Like These,36296
32898,The Strokes,You Only Live Once,36299
32902,Neutral Milk Hotel,[Untitled],36303
32909,Fleet Foxes,White Winter Hymnal,36313
32910,Thrupence,Folds,36314
32916,Santigold,L.E.S. Artistes,36321
32918,Burial,Archangel,36324
32928,New Radicals,You Get What You Give,36336
32943,The National,Hard to Find,36354
32948,The Microphones,The Moon,36359
32952,Björk,Pagan Poetry,36364
32956,St. Vincent,Prince Johnny,36369
33042,Tame Impala,"New Person, Same Old Mistakes",36462
33065,Muse,[JFK],36485
33084,Red Hot Chili Peppers,Easily,36505
33087,Red Hot Chili Peppers,Breaking the Girl,36508
33149,Wilco,If I Ever Was a Child,36570
33154,Daft Punk,Instant Crush (feat. Julian Casablancas),36575
33156,Miike Snow,Genghis Khan,36577
33163,Fool's Garden,Lemon Tree,36585
33175,Frank Ocean,self control,36598
33188,Real Estate,Stained Glass,36612
33200,Gorillaz,Some Kind Of Nature (Feat. Lou Reed),36625
33207,Arcade Fire,We Don't Deserve Love,36633
33208,Angel Olsen,Not Gonna Kill You,36634
33214,Blood Orange,Augustine,36640
33272,Kaytranada,WEIGHT OFF,36702
33307,Mumford & Sons,The Cave,36755
33328,Playboi Carti,Magnolia,36786
33332,Opeth,Will o the Wisp,36794
33336,Metallica,Am I Savage?,36799
33340,Pain of Salvation,Meaningless,36803
33348,Hinder,Lips Of An Angel,36814
33363,Ariana Grande,Focus,36835
33384,Beck,Wow,36860
33386,Beastie Boys,Root Down,36862
33388,PJ Harvey,The Ministry of Defence,36864
33448,OneRepublic,Stop and Stare,36932
33455,Foo Fighters,These Days,36940
33460,Foo Fighters,February Stars,36945
33462,Foo Fighters,This Is a Call,36947
33468,Imagine Dragons,Hear Me,36956
33469,Young the Giant,My Body,36958
33473,Of Monsters and Men,Sloom,36962
33474,Of Monsters and Men,From Finner,36964
33495,Massive Attack,Exchange,36988
33496,The Avalanches,Little Journey,36989
33517,LCD Soundsystem,You Wanted a Hit,37013
33528,Weezer,Holiday,37027
33531,Bon Iver,Calgary,37030
33532,Gorillaz,Dirty Harry,37031
33533,Vangelis,Rachel's Song,37032
33537,Nick Drake,Place to Be,37039
33547,Talking Heads,The Great Curve,37050
33549,The Avalanches,Stay Another Season,37054
33554,Boards of Canada,Beware the Friendly Stranger,37059
33572,Portishead,All Mine,37080
33575,Lou Reed,Satellite of Love,37084
33592,Coldplay,Shiver,37104
33593,Green Day,Holiday/Boulevard Of Broken Dreams,37106
33604,Neil Diamond,Sweet Caroline,37120
33697,Julien Baker,Everybody Does,37230
33706,Kendrick Lamar,untitled 08 | 09.06.2014.,37241
33720,Father John Misty,REAL LOVE BABY,37257
33777,Gorillaz,Empire Ants (feat. Little Dragon),37319
33783,The Avalanches,Wildflower,37325
33788,Meshuggah,Violent Sleep of Reason,37330
33794,Amon Amarth,Wanderer,37336
33818,Kings of Leon,Around the World,37363
33824,Lorde,Hard Feelings/Loveless,37370
33852,Carly Rae Jepsen,Store,37411
33853,Carly Rae Jepsen,All That,37412
33856,Japanese Breakfast,Road Head,37417
33858,The Smashing Pumpkins,Bodies,37420
33889,Disclosure,White Noise (feat. AlunaGeorge),37453
33931,Led Zeppelin,Babe I'm Gonna Leave You,37500
33938,Radiohead,Daydreaming,37508
33944,Beastie Boys,Hey Ladies,37514
34066,Death Grips,Lil Boy,37673
34073,The Fray,How to Save a Life,37681
34091,Florence + the Machine,Ship to Wreck,37701
34109,Joanna Newsom,Sapokanikan,37724
34119,Sigur Rós,Hoppípolla,37735
34123,Snow,Informer,37740
34159,The Beatles,Happiness Is a Warm Gun,37779
34196,Real Estate,Crime,37821
34199,Aphex Twin,Ageispolis,37824
34202,BROCKHAMPTON,SWIM,37827
34215,Lorde,Perfect Places,37842
34217,Dua Lipa,Blow Your Mind (Mwah),37844
34218,Amy Winehouse,Just Friends,37846
34253,Moby,Everloving,37888
34310,Kanye West,Stronger,37946
34333,Kanye West,I LOVE KANYE,37980
34359,Tim Hecker,Violet Monumental II,38014
34363,Pantera,This Love,38019
34367,Jon Hopkins,Open Eye Signal,38023
34381,David Bowie,Girl Loves Me,38038
34386,David Bowie,Changes - 2015 Remastered Version,38044
34391,FKA twigs,Lights On,38050
34398,The Smiths,Bigmouth Strikes Again,38059
34422,Massive Attack,Three,38091
34430,The White Stripes,I Just Don't Know What to Do With Myself,38100
34431,Tricky,Overcome,38101
34440,Iron Maiden,The Great Unknown,38110
34446,Danny Brown,ROLLING STONE (FEAT. PETITE NOIR),38117
34452,DJ Shadow,Midnight in a Perfect World,38124
34459,Gorillaz,Tomorrow Comes Today,38133
34460,The Smiths,The Queen Is Dead,38135
34473,Slipknot,Before I Forget,38149
34474,Morcheeba,Otherwise,38150
34479,deadmau5,Ghosts 'n' Stuff (feat. Rob Swire),38156
34487,The Velvet Underground,What Goes On,38166
34497,Lady Gaga,Telephone (feat. Beyoncé),38177
34499,Massive Attack,Dead Editors,38179
34505,Portishead,Wandering Star,38186
34510,Weezer,Hash Pipe,38191
34516,Three Days Grace,Time of Dying,38198
34517,Three Days Grace,Never Too Late,38199
34522,Grimes,Visiting Statue,38208
34551,Maroon 5,Maps,38242
34561,Rammstein,Du hast,38253
34568,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) [Remix],38263
34574,Death Grips,Bitch Please,38271
34604,Arctic Monkeys,Only Ones Who Know,38305
34608,Mitski,Happy,38310
34609,Vince Staples,Lift Me Up,38311
34612,Leonard Cohen,You Want It Darker,38314
34615,Death Grips,Lord of the Game (ft. Mexican Girl),38317
34630,Dream Theater,When Your Time Has Come,38334
34647,Run the Jewels,THURSDAY IN THE DANGER ROOM (FEAT. KAMASI WASHINGTON),38359
34648,Run the Jewels,Everybody Stay Calm,38360
34649,The Rolling Stones,Brown Sugar,38362
34659,Bon Jovi,Always,38374
34668,Metallica,...and Justice for All,38383
34669,Opeth,Patterns in the Ivy,38385
34682,Skillet,Awake and Alive,38405
34687,Colbie Caillat,Bubbly,38411
34698,System of a Down,Prison Song,38429
34703,Gorillaz,Halfway To The Halfway House (feat. Peven Everett),38438
34713,System of a Down,Sugar,38451
34718,Porcupine Tree,Arriving Somewhere but Not Here,38456
34730,Lana Del Rey,24,38468
34732,Pixies,Break My Body,38470
34758,Justin Bieber,Love Yourself,38508
34771,AronChupa,I'm an Albatraoz,38523
34775,Avicii,Hey Brother,38528
