,artist_name,track_name,song_no
1581,Boards of Canada,Rue the Whirl,1609
1587,Mount Eerie,My Chasm,1615
1594,Radiohead,Go Slowly,1622
1621,Death Grips,Turned Off,1649
1644,Ozzy Osbourne,Shot in the Dark,1672
1652,Talking Heads,Girlfriend Is Better,1681
1653,Talking Heads,Burning Down The House,1682
1655,The Lumineers,Cleopatra,1684
1656,The Offspring,Gotta Get Away,1685
1676,Future Islands,Aladdin,1707
1678,Kendrick Lamar,HiiiPower,1709
1680,Kendrick Lamar,The Blacker the Berry,1711
1681,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",1712
1685,Mumford & Sons,Little Lion Man,1716
1707,LCD Soundsystem,i used to,1738
1755,Chance the Rapper,Same Drugs,1787
1788,A Tribe Called Quest,Rap Promoter,1821
1790,A Tribe Called Quest,Can I Kick It?,1823
1800,Red Hot Chili Peppers,Hard to Concentrate,1833
1806,The New Pornographers,High Ticket Attractions,1839
1807,The Smashing Pumpkins,1979,1840
1815,The Last Shadow Puppets,Bad Habits,1848
1826,Rage Against the Machine,Guerrilla Radio,1859
1856,Kero Kero Bonito,Lipslap,1889
1943,Nao,Bad Blood,1978
1949,Grimes,Laughing and Not Being Normal,1984
1953,Garbage,Empty,1989
1955,Xiu Xiu,Get Up,1991
1960,Gorillaz,Interlude: New World,1996
1978,Angel Olsen,Shut Up Kiss Me,2014
1983,Sylvan Esso,Radio,2019
1990,Lana Del Rey,Love,2026
2005,"Tyler, the Creator",Pothole,2041
2023,Gorillaz,Busted and Blue,2059
2029,Tame Impala,The Moment,2065
2032,Lana Del Rey,Honeymoon,2069
2042,Zayn,PILLOWTALK,2079
2043,Banks,Lovesick,2080
2044,Banks,This Is Not About Us,2081
2051,Jonas Blue,Perfect Strangers,2088
2052,Kanye West,No More Parties In LA,2089
2054,Thundercat,Bus In These Streets,2091
2061,Young Thug,Wyclef Jean,2099
2062,Zara Larsson,Ain't My Fault,2103
2063,Julia Michaels,Issues,2104
2097,Zara Larsson,Lush Life,2138
2100,Ariana Grande,Dangerous Woman,2141
2101,Bryson Tiller,Exchange,2142
2105,Jason Derülo,Want To Want Me,2146
2115,65daysofstatic,Hypersleep,2156
2121,Meghan Trainor,No,2162
2222,Carpenter Brut,Turbo Killer,2269
2234,Passenger,Let Her Go,2281
2247,James Blake,Retrograde,2295
2270,Cigarettes After Sex,Starry Eyes,2319
2282,Spoon,Inside Out,2331
2286,The xx,Say Something Loving,2335
2290,Moderat,Therapy,2339
2297,Röyksopp,This Must Be It,2346
2299,Amon Tobin,At the End of the Day,2348
2308,Capital Cities,Safe and Sound,2357
2310,Frankie Cosmos,on the lips,2359
2316,LCD Soundsystem,All My Friends,2365
2327,Flume,Holdin On,2376
2332,Bonobo,Recurring,2381
2340,Moderat,Eating Hooks,2389
2341,Moderat,GHOSTMOTHER,2390
2345,Whitney,No Woman,2394
2351,Jamie xx,Hold Tight,2400
2352,Paramore,Caught in the Middle,2401
2354,Warpaint,So Good,2403
2359,MC Hammer,U Can't Touch This,2408
2360,Morcheeba,The Sea,2409
2362,Radiohead,Present Tense,2411
2370,Anne-Marie,Ciao Adios,2419
2372,Deerhunter,Desire Lines,2421
2375,Kanye West,Famous,2425
2376,Kanye West,Father Stretch My Hands Pt. 1,2426
2383,Danny Brown,Ain't It Funny,2434
2389,Duke Dumont,Ocean Drive,2440
2391,Frank Ocean,Pyramids,2442
2393,James Blake,My Willing Heart,2444
2394,Julie Byrne,Natural Blue,2445
2397,Major Lazer,Be Together (feat. Wild Belle),2448
2399,Purity Ring,Fineshrine,2450
2409,Van Morrison,Brown Eyed Girl,2461
2421,Kendrick Lamar,ELEMENT.,2473
2424,Run the Jewels,Call Ticketron,2476
2428,Russian Circles,Afrika,2480
2433,Boards of Canada,White Cyclosa,2485
2435,The Flaming Lips,Do You Realize??,2487
2437,Portugal. The Man,Rich Friends,2489
2454,Tove Lo,Got Love,2507
2460,Milky Chance,Cocoon,2513
2461,Taylor Swift,I Know Places,2514
2462,Ellie Goulding,soMEthINg iN the WAY yOu movE,2515
2466,Modern Baseball,Wedding Singer,2519
2469,Foster the People,Helena Beat,2522
2473,Bonobo,Animals,2526
2476,Björk,Venus as a Boy,2529
2488,Ramones,I Wanna Be Sedated,2541
2507,Soen,Sectarian,2560
2528,Green Day,Geek Stink Breath,2581
2530,In Flames,Come Clarity,2583
2531,Katatonia,Old Heart Falls,2584
2532,Rammstein,Ohne dich,2585
2554,Cage the Elephant,Ain't No Rest for the Wicked - Original Version,2607
2573,Death Cab for Cutie,Marching Bands of Manhattan,2627
2590,MGMT,Time to Pretend,2644
2608,Massive Attack,Sly,2663
2612,The Jesus and Mary Chain,Just Like Honey,2667
2621,Aurora,Conqueror,2676
2622,Björk,Cover Me,2677
2623,Björk,Possibly Maybe,2678
2631,The Clash,The Guns of Brixton,2686
2642,Bat for Lashes,Joe's Dream,2697
2649,Kool & The Gang,Jungle Boogie,2704
2657,Tycho,Apogee,2712
2662,Nils Frahm,Ambre,2717
2678,Radiohead,House of Cards,2733
2681,Frank Ocean,Skyline To,2736
2685,Neutral Milk Hotel,Communist Daughter,2740
2707,Ramin Djawadi,BLACK HOLE SUN,2762
2714,Oneohtrix Point Never,Ezra,2769
2721,Talking Heads,Heaven,2776
2723,Haken,Initiate,2778
2727,Glass Animals,Cane Shuga,2782
2783,deadmau5,Glish,2842
2807,Disturbed,The Vengeful One,2866
2820,Dire Straits,Your Latest Trick,2879
2822,Guns N' Roses,Welcome to the Jungle,2881
2843,M83,Go! (feat. Mai Lan),2902
2846,Feist,Century,2905
2847,Spoon,Tear It Down,2906
2849,Skepta,Shutdown,2908
2855,Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),2915
2858,Disclosure,Latch (feat. Sam Smith),2918
2859,Kanye West,Saint Pablo,2919
2860,Kanye West,Freestyle 4,2920
2869,Dire Straits,Tunnel of Love,2929
2876,Vince Staples,745,2936
2882,Run the Jewels,All Due Respect (feat. Travis Barker),2942
2888,Chance the Rapper,"Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)",2948
2889,The White Stripes,Ball and Biscuit,2949
2890,"Earth, Wind & Fire",Let's Groove,2950
2894,Oneohtrix Point Never,No Good,2954
2925,Muse,Unintended,2985
2931,Slowdive,Star Roving,2991
2934,David Bowie,Moonage Daydream - 2012 Remastered Version,2994
2942,Yo La Tengo,You Can Have It All,3002
2946,Massive Attack,Black Milk,3006
2947,Massive Attack,Voodoo In My Blood,3007
2951,Bush,Comedown,3012
2952,INXS,New Sensation,3013
2957,Heart,Barracuda,3018
2960,Journey,Separate Ways (Worlds Apart),3021
2962,Fastball,The Way,3023
2963,Interpol,PDA,3024
2964,Metallica,The Unforgiven,3025
2965,Radiohead,Karma Police,3026
2966,Radiohead,Bullet Proof..I Wish I Was,3027
2967,Duran Duran,Come Undone,3028
2968,The Strokes,Last Nite,3029
2970,Depeche Mode,Strangelove,3031
2972,Faith No More,Midlife Crisis,3033
2974,Pet Shop Boys,West End Girls,3035
2977,Massive Attack,Protection,3039
2979,Franz Ferdinand,Take Me Out,3041
2980,Michael Jackson,Wanna Be Startin' Somethin',3042
2981,A Perfect Circle,Passive,3043
2982,A Perfect Circle,Vanishing,3044
2984,Echo & the Bunnymen,The Killing Moon,3046
2985,The Doobie Brothers,What a Fool Believes,3047
2986,Fine Young Cannibals,She Drives Me Crazy,3048
2991,Lorde,400 Lux,3053
2992,Plaid,Do Matter,3054
2994,The xx,Test Me,3056
3002,Daft Punk,Fragments of Time (feat. Todd Edwards),3064
3009,Radiohead,Reckoner,3071
3010,Radiohead,Morning Mr Magpie,3072
3011,Radiohead,Separator,3073
3013,Soft Cell,Tainted Love,3075
3015,Motörhead,Overkill,3077
3016,Neil Young,Only Love Can Break Your Heart,3078
3020,Hans Zimmer,Afraid of Time,3082
3024,Miles Davis,So What,3086
3037,Yeah Yeah Yeahs,Maps,3099
3038,Boards of Canada,Reach for the Dead,3100
3041,A Tribe Called Quest,We The People....,3103
3044,Oneohtrix Point Never,I Bite Through It,3106
3052,Opeth,The Wilde Flowers,3114
3093,Muse,Undisclosed Desires,3155
3094,Muse,Falling Down,3156
3095,Muse,Citizen Erased,3157
3096,Moderat,Rusty Nails,3158
3099,The Strokes,Someday,3162
3101,The Strokes,Reptilia,3164
3103,Arctic Monkeys,Cornerstone,3166
3104,Arctic Monkeys,Suck It and See,3167
3106,Vampire Weekend,Giving up the Gun,3169
3124,The Who,Pinball Wizard,3187
3127,The Cars,Just What I Needed,3190
3128,Bob Dylan,Girl From the North Country,3191
3129,Daft Punk,One More Time,3192
3130,Radiohead,Airbag,3193
3131,The Hives,Hate To Say I Told You So,3194
3135,Deerhunter,Snakeskin,3198
3139,The Beatles,I Feel Fine,3202
3142,Foo Fighters,Breakout,3205
3145,Vince Staples,Alyssa Interlude,3208
3146,Arctic Monkeys,Piledriver Waltz,3209
3173,Kiesza,Hideaway,3236
3174,Fort Minor,Remember the Name (feat. Styles of Beyond),3237
3175,Jamiroquai,Canned Heat,3238
3181,Mastodon,Ember City,3244
3201,Nirvana,About a Girl,3264
3209,The Cure,Friday I'm in Love,3273
3213,DJ Shadow,Building Steam With a Grain of Salt,3277
3228,The Beatles,Here Comes the Sun,3292
